dateDecimal	date	driveInfo	sizeInMb	sizeInGb	cost	dollarsPerGb	predictedDollarsPerGb	logCostPerGb	predictedLogCostPerGb
1980.00	1980 January	Morrow Designs	26	0.026	5000.00	193000.00	1974730.74	5.29	6.3
1980.50	1980 July	North Star	18	0.018	4199.00	233000.00	1480897.96	5.37	6.17
1981.67	1981 September	Apple	5	0.005	3500.00	700000.00	756656.41	5.85	5.88
1981.83	1981 November	Seagate	5	0.005	1700.00	340000.00	687444.75	5.53	5.84
1981.92	1981 December	VR Data Corp.	6.3	0.006	2895.00	460000.00	655250.47	5.66	5.82
1981.92	1981 December	Morrow Designs	10	0.010	2999.00	300000.00	655250.47	5.48	5.82
1981.92	1981 December	Morrow Designs	10	0.010	2949.00	295000.00	655250.47	5.47	5.82
1981.92	1981 December	VR Data Corp.	19	0.019	5495.00	289000.00	655250.47	5.46	5.82
1981.92	1981 December	Morrow Designs	20	0.020	3829.00	191000.00	655250.47	5.28	5.82
1981.92	1981 December	Morrow Designs	26	0.026	3949.00	152000.00	655250.47	5.18	5.82
1981.92	1981 December	Morrow Designs	26	0.026	3599.00	138000.00	655250.47	5.14	5.82
1982.17	1982 March	Xebec				260000.00	567434.80	5.41	5.75
1983.92	1983 December	Corvus	6	0.006	1895.00	316000.00	207241.32	5.5	5.32
1983.92	1983 December	Corvus	10	0.010	2695.00	270000.00	207241.32	5.43	5.32
1983.92	1983 December	Xcomp	10	0.010	1895.00	190000.00	207241.32	5.28	5.32
1983.92	1983 December	Corvus	20	0.020	3495.00	175000.00	207241.32	5.24	5.32
1983.92	1983 December	Davong	10	0.010	1650.00	165000.00	207241.32	5.22	5.32
1983.92	1983 December	Xcomp	16	0.016	2095.00	131000.00	207241.32	5.12	5.32
1983.92	1983 December	Davong	21	0.021	2495.00	119000.00	207241.32	5.08	5.32
1984.17	1984 March	Percom/Tandon	5	0.005	1399.00	280000.00	179467.15	5.45	5.25
1984.17	1984 March		5	0.005	1349.00	270000.00	179467.15	5.43	5.25
1984.17	1984 March	Percom/Tandon	10	0.010	1699.00	170000.00	179467.15	5.23	5.25
1984.17	1984 March		10	0.010	1599.00	160000.00	179467.15	5.2	5.25
1984.17	1984 March	Percom/Tandon	15	0.015	2095.00	140000.00	179467.15	5.15	5.25
1984.17	1984 March		15	0.015	1999.00	133000.00	179467.15	5.12	5.25
1984.17	1984 March	Percom/Tandon	20	0.020	2399.00	120000.00	179467.15	5.08	5.25
1984.17	1984 March		20	0.020	2359.00	118000.00	179467.15	5.07	5.25
1984.33	1984 May	Tecmar	5	0.005	1495.00	299000.00	163051.22	5.48	5.21
1984.33	1984 May	Corvus	6	0.006	1695.00	283000.00	163051.22	5.45	5.21
1984.33	1984 May	Corvus	11	0.011	2350.00	214000.00	163051.22	5.33	5.21
1984.33	1984 May	Comrex	10	0.010	1995.00	200000.00	163051.22	5.3	5.21
1984.33	1984 May	CTI	11	0.011	1995.00	181000.00	163051.22	5.26	5.21
1984.33	1984 May	Davong	10	0.010	1645.00	165000.00	163051.22	5.22	5.21
1984.33	1984 May	Corvus	20	0.020	3150.00	158000.00	163051.22	5.2	5.21
1984.33	1984 May	Davong	15	0.015	2095.00	140000.00	163051.22	5.15	5.21
1984.33	1984 May	Davong	21	0.021	2495.00	119000.00	163051.22	5.08	5.21
1984.33	1984 May	Pegasus (Great Lakes)	10	0.010	1075.00	108000.00	163051.22	5.03	5.21
1984.33	1984 May	Pegasus (Great Lakes)	23	0.023	1845.00	80000.00	163051.22	4.9	5.21
1985.50	1985 July	First Class Peripherals	10	0.010	710.00	71000.00	83310.10	4.85	4.92
1987.75	1987 October	Iomega	10	0.010	899.00	90000.00	22817.88	4.95	4.36
1987.75	1987 October	Iomega	20	0.020	1199.00	60000.00	22817.88	4.78	4.36
1987.75	1987 October	Iomega	40	0.040	1799.00	45000.00	22817.88	4.65	4.36
1988.33	1988 May		20	0.020	799.00	40000.00	16310.30	4.6	4.21
1988.33	1988 May		30	0.030	995.00	33000.00	16310.30	4.52	4.21
1988.33	1988 May		45	0.045	1195.00	27000.00	16310.30	4.43	4.21
1988.33	1988 May		60	0.060	1795.00	30000.00	16310.30	4.48	4.21
1988.33	1988 May		250	0.250	3995.00	16000.00	16310.30	4.2	4.21
1989.17	1989 March	Western Digital	20	0.020	899.00	53000.00	10096.19	4.72	4
1989.17	1989 March	Western Digital	40	0.040	1199.00	36000.00	10096.19	4.56	4
1989.67	1989 September					12000.00	7571.37	4.08	3.88
1990.67	1990 September					9000.00	4258.03	3.95	3.63
1991.67	1991 September					7000.00	2394.66	3.85	3.38
1992.67	1992 September					4000.00	1346.72	3.6	3.13
1993.67	1993 September					2000.00	757.38	3.3	2.88
1994.67	1994 September					950.00	425.94	2.98	2.63
1995.00	1995 January	Seagate	1000	1.000	849.00	850.00	351.58	2.93	2.55
1995.00	1995 January	Seagate	1700	1.700	1499.00	880.00	351.58	2.94	2.55
1995.00	1995 January	Seagate	2100	2.100	1699.00	810.00	351.58	2.91	2.55
1995.00	1995 January	Seagate	2900	2.900	2899.00	990.00	351.58	3	2.55
1995.25	1995 April		240	0.240	250.00	1260.00	304.46	3.1	2.48
1995.25	1995 April		420	0.420	320.00	922.00	304.46	2.96	2.48
1995.25	1995 April		520	0.520	380.00	884.00	304.46	2.95	2.48
1995.25	1995 April		850	0.850	470.00	669.00	304.46	2.83	2.48
1995.25	1995 April		1000	1.000	625.00	756.00	304.46	2.88	2.48
1995.25	1995 April		1200	1.200	680.00	686.00	304.46	2.84	2.48
1996.42	1996 June 10	Western Digital	1600	1.600	399.99	295.00	155.56	2.47	2.19
1996.58	1996 August 14	IBM	1760	1.760	379.99	263.00	141.33	2.42	2.15
1996.58	1996 August 14	Maxtor	2000	2.000	439.99	259.00	141.33	2.41	2.15
1996.67	1996 September	Quantum	2500	2.500	440.00	207.00	134.72	2.32	2.13
1996.67	1996 September	Quantum	3200	3.200	469.00	173.00	134.72	2.24	2.13
1997.58	1997 August 13	Western Digital	2100	2.100	329.99	181.00	79.48	2.26	1.9
1997.58	1997 August 13	Western Digital	3100	3.100	399.99	148.00	79.48	2.17	1.9
1997.58	1997 August 13	Western Digital	4000	4.000	490.99	141.00	79.48	2.15	1.9
1997.58	1997 August 24	Western Digital	2100	2.100	279.99	153.00	79.48	2.18	1.9
1997.58	1997 August 24	Western Digital	3100	3.100	329.99	122.00	79.48	2.09	1.9
1997.58	1997 August 24	Maxtor	3500	3.500	359.99	118.00	79.48	2.07	1.9
1997.58	1997 August 24	Maxtor	4300	4.300	439.99	118.00	79.48	2.07	1.9
1997.58	1997 August 24	Western Digital	5100	5.100	459.99	104.00	79.48	2.02	1.9
1997.67	1997 September 5	Maxtor	7000	7.000	669.99	110.00	75.76	2.04	1.88
1997.83	1997 November 29	Western Digital	3200	3.200	289.00	104.00	68.83	2.02	1.84
1997.83	1997 November 29	Quantum	3200	3.200	285.00	102.00	68.83	2.01	1.84
1997.83	1997 November 29	Quantum	4300	4.300	379.00	101.00	68.83	2	1.84
1997.83	1997 November 29	Western Digital	4300	4.300	365.00	97.60	68.83	1.99	1.84
